Plot,system,months,Month,season,rainfall,leaf_tree,leaf_rubber,flower,fruit,fruit_other,branch,sum(Mg ha-1 m-1),sum(Mg ha-1 yr-1),Year
BR1,R,Jan,1,rain,262.1,0.029829709,0.903170003,0,0.361767353,0,0.0421821,0.11141243,1.336949165,2014
BR1,R,Feb,2,rain,222.7,0.024314662,2.020153809,0,0.218959263,0,0.050920759,0.192862374,2.314348493,2014
BR1,R,Mrz,3,rain,306.3,0.072452966,3.226921237,0,0.329530054,0,1.162157207,0.399255122,4.791061464,2014
BR1,R,Apr,4,rain,312.1,0.000636509,1.593437849,0,0.073198591,0,0.841338239,0.209050932,2.508611189,2013
BR1,R,Mai,5,dry,419.6,0.007875744,2.810554315,0,0.151268601,0,4.139925595,0.592468688,7.109624256,2013
BR1,R,Jun,6,dry,53.4,0.011659098,5.848091133,0,0.067004695,0,0.042984144,0.497478256,5.96973907,2013
BR1,R,Jul,7,dry,236.5,0.045921266,8.805526245,0,0,0,0.508960701,0.780034018,9.360408212,2013
BR1,R,Aug,8,dry,55.1,0,7.282814244,0.134685407,0,0,0.080964007,0.624871971,7.498463658,2013
BR1,R,Sep,9,dry,442.2,0.139862351,2.238069196,0.092879464,0.058660714,0,0.256640625,0.232176029,2.786112351,2013
BR1,R,Okt,10,rain,239.9,0.120107287,0.586738551,0.175693044,0,0,0.10578377,0.082360221,0.988322653,2013
BR1,R,Nov,11,rain,414.1,0.078319412,0.462557604,0.061367728,0.042313508,0.004599294,7.263205645,0.659363599,7.912363191,2013
BR1,R,Dez,12,rain,324.7,0.170531866,0.492491533,0.008428264,1.337986838,0,0.096925031,0.175530294,2.106363531,2013
BR2,R,Jan,1,rain,262.1,0,0.67281106,0,0,0,0.404068915,0.089739998,1.076879975,2014
BR2,R,Feb,2,rain,222.7,0,1.521697443,0,0.049069095,0,0.139615463,0.142531833,1.710382001,2014
BR2,R,Mrz,3,rain,306.3,0,2.45683309,0,0.069834184,0,0.270191782,0.233071588,2.796859056,2014
BR2,R,Apr,4,rain,312.1,0,1.837984794,0,0.217304339,0,0.107315499,0.180217053,2.162604632,2013
BR2,R,Mai,5,dry,419.6,0.009855631,2.765884217,0,1.121570781,0,0.218137961,0.342954049,4.115448589,2013
BR2,R,Jun,6,dry,53.4,0.005586735,4.00118835,0,0.452991071,0,0.28756165,0.395610651,4.747327806,2013
BR2,R,Jul,7,dry,236.5,0,6.86720441,0,0.21392891,0,0.257381291,0.611542884,7.33851461,2013
BR2,R,Aug,8,dry,55.1,0,11.0504412,0,0.318763951,0,0.129975237,0.958265032,11.49918039,2013
BR2,R,Sep,9,dry,442.2,0,1.974503348,0.490197173,0,0,0.281625744,0.228860522,2.746326265,2013
BR2,R,Okt,10,rain,239.9,0,0.264358679,0.0081298,0.286925883,0,0.103024194,0.055203213,0.662438556,2013
BR2,R,Nov,11,rain,414.1,0,0.684112183,0,0.225759649,0,0.580430948,0.124191898,1.490302779,2013
BR2,R,Dez,12,rain,324.7,0,0.731713747,0,0.145106604,0,0.220399092,0.091434954,1.097219443,2013
BR3,R,Jan,1,rain,262.1,0,1.597532042,0,0,0,0.280819772,0.156529318,1.878351815,2014
BR3,R,Feb,2,rain,222.7,0.020911458,2.709120164,0,0.679486607,0,0.229347098,0.303238777,3.638865327,2014
BR3,R,Mrz,3,rain,306.3,0.006207483,3.725265731,0,0,0,0.190569728,0.326836912,3.922042942,2014
BR3,R,Apr,4,rain,312.1,0.00203683,1.070099749,0,1.535770089,0,0.159636579,0.230628604,2.767543248,2013
BR3,R,Mai,5,dry,419.6,0,2.237622408,0,0.504871112,0,0.174641777,0.243094608,2.917135297,2013
BR3,R,Jun,6,dry,53.4,0.002473294,5.065597098,0,0.099804688,0.211830357,0.244710619,0.468701338,5.624416055,2013
BR3,R,Jul,7,dry,236.5,0.009998985,12.35331439,0,0,0,0.189486945,1.046066694,12.55280032,2013
BR3,R,Aug,8,dry,55.1,0,9.55375279,0,0,0.227997698,0.275608608,0.838113258,10.0573591,2013
BR3,R,Sep,9,dry,442.2,0.026071429,1.275055804,0,0.032589286,0.098446801,0.605753348,0.169826389,2.037916667,2013
BR3,R,Okt,10,rain,239.9,0,0.651365207,0.196376728,0.012334869,0,0.329397081,0.099122824,1.189473886,2013
BR3,R,Nov,11,rain,414.1,0,0.591190011,0.004455566,0.063523647,0,0.425442941,0.090384347,1.084612165,2013
BR3,R,Dez,12,rain,324.7,0,0.897078284,0.005674027,0,0,0.565220424,0.122331061,1.467972736,2013
BR4,R,Jan,1,rain,262.1,0.018738839,1.428225446,0,0.181956845,0,0.088398438,0.143109964,1.717319568,2014
