Year,Month,Hour,Transpiration (mm hr-1)
2013,6,0,0.012175406
2013,6,0.5,0.011439681
2013,6,1,0.010276481
2013,6,1.5,0.010250597
2013,6,2,0.009658513
2013,6,2.5,0.009225127
2013,6,3,0.009404042
2013,6,3.5,0.008500054
2013,6,4,0.008483801
2013,6,4.5,0.007926604
2013,6,5,0.007763062
2013,6,5.5,0.008083966
2013,6,6,0.011153069
2013,6,6.5,0.004393386
2013,6,7,0.001653208
2013,6,7.5,0.002773315
2013,6,8,0.011793404
2013,6,8.5,0.031414289
2013,6,9,0.056404191
2013,6,9.5,0.082733828
2013,6,10,0.103672435
2013,6,10.5,0.121168539
2013,6,11,0.133831959
2013,6,11.5,0.144192244
2013,6,12,0.152557948
2013,6,12.5,0.157056273
2013,6,13,0.153417103
2013,6,13.5,0.152571461
2013,6,14,0.148789135
2013,6,14.5,0.14304211
2013,6,15,0.13911838
2013,6,15.5,0.12638858
2013,6,16,0.114644384
2013,6,16.5,0.101787161
2013,6,17,0.085196822
2013,6,17.5,0.067476324
2013,6,18,0.051400605
2013,6,18.5,0.039269537
2013,6,19,0.031223215
2013,6,19.5,0.025452777
2013,6,20,0.021045265
2013,6,20.5,0.01768216
2013,6,21,0.014832336
2013,6,21.5,0.012634722
2013,6,22,0.01081774
2013,6,22.5,0.009184275
2013,6,23,0.007849107
2013,6,23.5,0.006812024
